City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Klyavlino,RU,2021-05-31 02:13:00,54.2649,52.0267,46.08,88,79,12.97
181,Darhan,MN,2021-05-31 02:13:01,49.4867,105.9228,45.93,48,77,6.71
182,Esperance,AU,2021-05-31 02:13:02,-33.8667,121.9,60.64,82,100,24.4
183,Naples,IT,2021-05-31 02:13:04,40.8333,14.25,66.74,51,20,4.0
184,Banda Aceh,ID,2021-05-31 02:12:25,5.5577,95.3222,83.12,70,87,11.5
185,Isangel,VU,2021-05-31 02:13:06,-19.55,169.2667,77.11,69,90,6.6
186,Port Blair,IN,2021-05-31 02:13:07,11.6667,92.75,80.64,94,20,1.14
187,General Roca,AR,2021-05-31 02:13:09,-39.0333,-67.5833,59.4,47,100,31.81
188,Opoczno,PL,2021-05-31 02:13:10,51.3757,20.2783,51.96,92,87,6.04
189,Leningradskiy,RU,2021-05-31 02:10:46,69.3833,178.4167,40.41,78,24,4.68
190,Newport,GB,2021-05-31 02:12:07,51.5877,-2.9984,53.71,86,17,7.34
191,Kavaratti,IN,2021-05-31 02:13:13,10.5669,72.642,82.81,78,100,19.98
192,Bilibino,RU,2021-05-31 02:13:16,68.0546,166.4372,60.28,26,22,2.35
193,Touros,BR,2021-05-31 02:13:17,-5.1989,-35.4608,76.1,89,37,8.32
194,Tecoanapa,MX,2021-05-31 02:13:18,16.5167,-98.75,83.23,76,100,5.75
195,Sri Aman,MY,2021-05-31 02:13:20,1.2376,111.4621,84.29,74,96,1.32
196,Yar-Sale,RU,2021-05-31 02:13:21,66.8333,70.8333,39.11,51,18,14.16
197,Huangzhou,CN,2021-05-31 02:13:23,30.45,114.8,82.58,71,100,8.32
198,Quelimane,MZ,2021-05-31 02:13:26,-17.8786,36.8883,66.18,96,4,3.83
199,Muzhi,RU,2021-05-31 02:13:27,65.3667,64.6667,40.17,58,6,17.36
200,Beihai,CN,2021-05-31 02:13:28,21.4833,109.1,87.06,77,100,14.07
201,Arraial Do Cabo,BR,2021-05-31 02:13:31,-22.9661,-42.0278,73.6,87,100,10.71
202,Port Hawkesbury,CA,2021-05-31 02:13:32,45.6169,-61.3485,48.58,90,100,4.0
203,Ugoofaaru,MV,2021-05-31 02:13:34,5.6667,73.0,83.32,70,74,19.04
204,Talnakh,RU,2021-05-31 02:13:35,69.4865,88.3972,34.43,100,100,5.55
205,Aklavik,CA,2021-05-31 02:13:36,68.2191,-135.0107,51.37,47,100,6.69
206,Ialibu,PG,2021-05-31 02:13:37,-6.2821,143.9935,67.91,65,95,4.83
