City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
75,Kenai,US,60.5544,-151.2583,62.69,48,1,6.91,clear sky
76,Hobart,AU,-42.8794,147.3294,53.46,82,100,7.38,overcast clouds
77,Carnarvon,AU,-24.8667,113.6333,59.07,82,100,6.91,overcast clouds
78,Bentiu,SS,9.2333,29.8333,79.5,70,79,2.48,broken clouds
79,Anamur,TR,36.0751,32.8369,71.62,56,0,8.41,clear sky
80,Vostok,RU,46.4856,135.8833,45.82,91,100,3.65,overcast clouds
81,Laguna,US,38.421,-121.4238,91.24,37,1,5.01,clear sky
82,Codrington,AU,-38.2667,141.9667,55.99,65,100,19.66,overcast clouds
83,Puerto Escondido,MX,15.85,-97.0667,90.43,62,40,10.36,scattered clouds
84,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,83,100,15.05,overcast clouds
85,Aksu,CN,41.1231,80.2644,76.53,25,84,7.0,broken clouds
86,Bengkulu,ID,-3.8004,102.2655,73.85,90,49,4.45,scattered clouds
87,Luderitz,NA,-26.6481,15.1594,67.48,36,0,5.5,clear sky
88,Port Alfred,ZA,-33.5906,26.891,65.52,36,0,8.14,clear sky
89,Kununurra,AU,-15.7667,128.7333,58.98,67,50,5.75,scattered clouds
90,Kapaa,US,22.0752,-159.319,80.58,73,90,3.0,overcast clouds
91,Butaritari,KI,3.0707,172.7902,82.22,72,20,5.1,light rain
92,Barrow,US,71.2906,-156.7887,30.22,93,90,12.66,mist
93,Florida,US,28.7505,-82.5001,95.05,63,100,1.01,overcast clouds
94,Vaini,TO,-21.2,-175.2,73.56,88,20,8.05,few clouds
95,Fortuna,US,40.5982,-124.1573,66.42,61,75,10.0,broken clouds
96,Makakilo City,US,21.3469,-158.0858,80.92,56,20,10.36,light rain
97,Mateare,NI,12.2351,-86.4281,85.98,34,51,11.74,broken clouds
98,Svetlogorsk,BY,52.6333,29.7333,56.91,93,86,5.82,overcast clouds
99,Launceston,AU,-41.45,147.1667,54.81,94,90,4.0,overcast clouds
100,Teguldet,RU,57.3064,88.1667,54.66,94,100,11.3,overcast clouds
101,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,79,100,3.13,overcast clouds
102,Port Keats,AU,-14.25,129.55,65.91,38,31,6.71,scattered clouds
103,Chicontepec,MX,20.9667,-98.1667,92.01,38,84,8.72,broken clouds
104,Gat,IL,31.61,34.7642,73.81,68,0,2.66,clear sky
105,Ancud,CL,-41.8697,-73.8203,51.22,82,100,15.95,light rain
106,Acapulco,MX,16.8634,-99.8901,89.42,66,75,10.27,broken clouds
107,Beloha,MG,-25.1667,45.05,62.31,71,37,12.77,scattered clouds
108,Olafsvik,IS,64.8945,-23.7142,47.59,86,100,3.78,light rain
109,Kodiak,US,57.79,-152.4072,54.32,56,17,6.67,few clouds
110,Belaya Gora,RU,68.5333,146.4167,39.43,82,100,7.29,overcast clouds
111,Apomu,NG,7.3333,4.1833,73.44,96,100,3.31,light rain
112,Ucluelet,CA,48.9329,-125.5528,54.09,90,100,15.03,light rain
113,Saint-Louis,SN,16.3333,-15.0,109.04,11,3,7.96,clear sky
114,Inhapi,BR,-9.2214,-37.7486,74.05,75,52,6.29,broken clouds
115,Conde,BR,-7.2597,-34.9075,78.26,89,75,13.15,broken clouds
116,Mpulungu,ZM,-8.7623,31.1141,68.72,69,17,9.86,few clouds
117,Vila Velha,BR,-20.3297,-40.2925,78.75,74,20,7.0,few clouds
118,Saint-Joseph,RE,-21.3667,55.6167,70.16,86,60,11.52,light rain
119,Flin Flon,CA,54.7682,-101.865,57.04,88,90,12.82,mist
120,Bredasdorp,ZA,-34.5322,20.0403,47.52,66,5,6.35,clear sky
121,Fukue,JP,32.6881,128.8419,68.86,71,100,2.57,overcast clouds
122,Platteville,US,42.7342,-90.4785,88.48,51,1,20.71,clear sky
123,Kochki,RU,54.3358,80.4806,55.08,70,5,6.98,clear sky
124,Hilo,US,19.7297,-155.09,80.28,68,90,3.44,light rain
125,Mayo,US,38.8876,-76.5119,96.75,61,13,3.0,few clouds
126,Makat,KZ,47.6469,53.3463,73.81,34,100,8.34,overcast clouds
127,Saint Anthony,US,45.0205,-93.218,91.83,38,1,5.99,clear sky
128,Singaraja,ID,-8.112,115.0882,77.86,81,16,3.27,few clouds
129,Ust-Nera,RU,64.5667,143.2,59.18,76,100,5.66,overcast clouds
130,Dikson,RU,73.5069,80.5464,30.0,88,100,9.98,overcast clouds
131,Mariental,NA,-24.6333,17.9667,55.35,37,0,17.0,clear sky
132,Namibe,AO,-15.1961,12.1522,73.92,62,47,5.84,scattered clouds
133,Paamiut,GL,61.994,-49.6678,38.14,97,100,3.31,light rain
134,Jamestown,US,42.097,-79.2353,85.32,50,1,9.22,clear sky
135,Kamariotissa,GR,40.4833,25.4667,68.05,63,97,2.89,overcast clouds
136,Mitsamiouli,KM,-11.3847,43.2844,78.39,69,14,14.07,few clouds
137,Marawi,PH,7.9986,124.2928,63.64,91,100,2.39,overcast clouds
138,Trinidad,BO,-14.8333,-64.9,82.38,78,75,5.75,broken clouds
139,Chuy,UY,-33.6971,-53.4616,54.05,75,100,5.06,overcast clouds
140,Lewistown,US,40.5992,-77.5714,92.95,35,20,5.75,few clouds
141,Torres,BR,-29.3353,-49.7269,61.05,92,100,8.93,light rain
142,Nikolskoye,RU,59.7035,30.7861,66.09,73,43,4.7,scattered clouds
143,Bundaberg,AU,-24.85,152.35,56.21,92,5,1.99,clear sky
144,Cabo San Lucas,MX,22.8909,-109.9124,103.8,36,1,9.22,clear sky
145,Clyde River,CA,70.4692,-68.5914,35.83,93,90,12.66,overcast clouds
146,Provideniya,RU,64.3833,-173.3,37.51,75,0,4.47,clear sky
147,Sorong,ID,-0.8833,131.25,77.5,88,99,6.53,overcast clouds
148,Malanje,AO,-9.5402,16.341,62.73,48,41,3.18,scattered clouds
149,Muroto,JP,33.2833,134.15,71.42,67,100,6.46,overcast clouds
150,Tombouctou,ML,20.0,-3.0,100.18,12,47,7.18,scattered clouds
151,Bonavista,CA,48.6499,-53.1147,50.0,85,100,23.35,overcast clouds
152,Shizunai,JP,42.3339,142.3669,54.97,89,97,4.12,overcast clouds
153,Faya,SA,18.3851,42.4509,75.31,52,9,0.38,clear sky
154,Itigi,TZ,-5.7,34.4833,67.5,58,82,9.64,broken clouds
155,Khatanga,RU,71.9667,102.5,32.61,94,97,5.48,overcast clouds
156,Razam,IN,18.4667,83.6667,85.12,72,91,8.12,overcast clouds
157,Zhangye,CN,38.9342,100.4517,61.65,48,87,6.31,overcast clouds
158,Oktyabrskoye,RU,43.0645,44.7417,57.34,94,90,3.18,light intensity drizzle
159,Harper,LR,4.375,-7.7169,77.81,88,100,9.95,overcast clouds
160,Kysyl-Syr,RU,63.8986,122.7617,48.29,88,100,8.01,light rain
161,Lavrentiya,RU,65.5833,-171.0,35.04,81,99,5.03,overcast clouds
162,Aykhal,RU,66.0,111.5,37.63,87,85,20.45,overcast clouds
163,Isangel,VU,-19.55,169.2667,71.6,65,100,10.98,overcast clouds
164,Sorland,NO,67.667,12.6934,64.47,84,97,1.9,overcast clouds
165,Eirunepe,BR,-6.6603,-69.8736,83.25,72,72,2.91,broken clouds
166,Olinda,BR,-8.0089,-34.8553,76.73,73,75,12.21,broken clouds
167,Coihaique,CL,-45.5752,-72.0662,47.01,71,75,8.05,broken clouds
168,Saint-Georges,GD,12.0564,-61.7485,83.88,74,20,23.02,few clouds
169,Ferrandina,IT,40.5012,16.4547,70.29,60,75,2.39,light rain
170,Pasighat,IN,28.0667,95.3333,73.96,94,100,1.9,overcast clouds
171,Chokurdakh,RU,70.6333,147.9167,36.84,76,100,6.85,overcast clouds
