City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
627,Ngawen,ID,73.49,few clouds,-7.0032,111.3129,MURAI BATU BIRD FARM BASE'CAMP IBF
629,Rocky Mountain House,CA,55.15,heavy intensity rain,52.3668,-114.9188,Walking Eagle Inn & Lodge
632,Buenos Aires,AR,60.53,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
633,Saiha,IN,69.96,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
634,Bone,DE,65.82,overcast clouds,51.9669,12.1396,Sporthotel Wallwitz
637,Huarmey,PE,68.65,few clouds,-10.0681,-78.1522,Hotel Miramar
641,Puerto Del Rosario,ES,67.75,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
643,Shemgang,BT,57.63,moderate rain,27.2169,90.6579,Dzongkhag Guest House
645,Baglung,NP,70.66,broken clouds,28.2719,83.5898,"Hotel Peace Palace, Baglung, Nepal"
646,Kurilsk,RU,56.39,clear sky,45.2333,147.8833,City of Kurilsk
647,Roald,NO,64.17,overcast clouds,62.5833,6.1333,Flem Cabins
654,Praya,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
662,Liaozhong,CN,59.49,broken clouds,41.5061,122.7242,Bishuiwan Hotel
663,Stornoway,GB,55.92,overcast clouds,58.2093,-6.3865,Caladh Inn
